Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.5486,29.7638,0,6,3,272.1329041,0,12,1,3,0,2
78.5267,29.805,0,8,2,283.5005493,46,12,3,3,16,6
78.6034,29.7335,0,3,3,285.1504517,11,12,3,3,8,6
78.6801,29.7328,0,2,3,284.8179626,33,12,3,3,34,6
78.5556,29.8895,0,2,3,270.3831482,8,8,3,3,8,2
78.7081,29.7134,0,4,3,291.7219238,16,12,3,3,26,6
78.6047,29.7426,0,2,3,285.1504517,8,12,3,3,8,6
78.7387,29.8171,0,7,1,260.6399231,0,8,3,3,0,2
78.6823,29.7767,0,10,1,270.0474243,11,8,3,3,8,2
78.5668,29.7714,0,9,3,267.0637207,8,12,3,3,0,6
78.5914,29.9307,0,3,3,263.636261,18,8,7,4,18,6
78.7675,29.8456,0,10,3,276.3983459,32,8,3,4,8,2
78.6122,29.7783,0,3,1,264.4629211,8,12,3,4,8,6
78.7655,29.8535,0,5,3,268.1714478,33,8,3,4,8,2
78.6924,29.8845,0,3,3,256.4910278,8,8,3,4,16,6
78.5929,29.8414,0,7,2,275.0291138,24,8,3,3,0,6
78.7447,29.846,0,9,3,260.6399231,26,8,3,4,11,2
78.5391,29.8468,0,2,3,283.5005493,11,8,3,4,16,6
78.878753,29.901748,1,2,2,259.187439,0,8,3,3,0,6
78.826666,29.857732,1,4,3,267.2776489,18,8,3,3,0,6
78.996561,29.885176,1,8,3,250.1608124,26,8,3,3,0,6
78.998823,29.886083,1,4,3,250.1608124,18,8,3,2,0,6
79.03504,29.779072,1,5,1,249.6737671,29,8,3,2,0,2
78.86,29.899,1,9,2,262.3626709,0,8,1,3,0,2
78.790721,29.910246,1,6,1,263.0310059,16,8,3,3,0,6
78.987403,29.832364,1,6,3,263.3337402,0,8,3,3,0,2
78.890662,29.790482,1,7,3,264.1102295,26,8,3,2,0,2
79.041216,29.751044,1,3,3,249.6737671,18,8,3,3,0,6
78.7794,29.900226,1,7,2,263.0310059,11,8,3,2,0,6
78.832974,29.774699,1,8,3,272.478363,36,8,3,3,0,6
79.039583,29.796222,1,7,1,249.6737671,24,8,3,2,0,2
78.976995,29.845511,1,4,2,263.3337402,11,8,3,4,0,2
79.029898,29.778168,1,7,1,249.6737671,33,8,3,2,0,2
